sno,use_case,lable
0,Authenticate, Simple
1,Request new book, Simple
2,Reserve a book, Simple
3,Renew a book, Simple
4,Pay fines, Simple
5,Register new user, Average
6,Add record, Average
7,Delete book record, Average
8,Update book record, Average
9,Prepare library database, Complex
10,Enroll for course, Simple
11,Attend class, Simple
12,Drop classes, Simple
13,Add course, Average
14,View course, Average
15,Update course, Average
16,Delete course, Average
17,Add student, Average
18,Add professor, Average
19,Manage exam, Complex
20,Create new customer, Simple
21,Show customer information, Simple
22,Open current account, Average
23,Open saving account, Average
24,Close saving account, Average
25,Block customer account, Average
26,Withdraw, Simple
27,Deposit, Simple
28,Transfer, Simple
29,Show account information, Simple
30,Search docs, Simple
31,View events, Simple
32,Upload docs, Average
33,Post new event to homepage, Average
34,Course information, Simple
35,Manage requirements, Simple
36,Manage registration, Simple
37,Group member, Simple
38,Supervisor, Simple
39,Chat, Average
40,Meeting timing, Average
41,Evaluation, Average
42,Student, Simple
43,Edit profile, Simple
44,Home service reservation, Average
45,View history, Simple
46,Add service option, Average
47,View home service status, Simple
48,Enter details for body, Average
49,View information, Simple
50,Make emergency call, Simple
51,Make QNA, Average
52,Add new titles, Average
53,Manage publication, Average
54,Manage titles, Average
55,Create order, Average
56,List stock levels, Simple
57,Create a Netflix account, Simple
58,Browse home page, Simple
59,View movies, Simple
60,Study user preferences, Complex
61,Generate recommendation using implicit rating, Complex
62,Recommend similar content, Complex
63,Post content, Average
64,Search for other users, Average
65,Like/Comment on content, Average
66,Personalize feed, Complex
67,Generate insights on user behavior, Complex
68,Browse products, Simple
69,Track order, Average
70,Personalize recommendations, Complex
71,View account balance, Simple
72,Transfer funds, Average
73,Pay bills, Average
74,Set up recurring payments, Average
75,Analyze spending habits, Complex
76,Check balances, Simple
77,Offer sales, Average
78,Manage sales, Average
79,Manage design, Average
80,Hide products, Average
81,Customer message, Average
82,Display product, Average
83,Display sales and discounts, Average
84,See products, Simple
85,See sales and discounts, Simple
86,Buy products, Average
87,Draft a story, Average
88,Review story, Average
89,Suggest edit, Average
90,Revise story, Average
91,Sell story, Complex
92,Package story, Complex
93,Deliver story to consumers, Complex
94,Order food, Average
95,Reserve table, Average
96,Confirm order, Average
97,Send notification on order status, Complex
98,Check the customer order, Average
99,Add new item from menu, Average
100,Delete item from food menu, Average
101,Edit prices in food menu, Average
102,Check transaction, Average
103,View policy, Simple
104,Dining, Average
105,Order, Average
106,Submit order, Average
107,Process order, Average
108,Table booking, Average
109,Cancel booking, Average
110,Check attendance, Simple
111,Check timetable, Simple
112,Check grades, Simple
113,Update attendance, Average
114,Update grades, Average
115,View registered course, Simple
116,Display course, Simple
117,View course offering roster, Simple
118,Select course to teach, Average
119,Create new course, Complex
120,Manage course, Average
121,Student registration, Average
122,Manage examination, Complex
123,Manage question bank, Complex
124,System login, Simple
125,Test, Complex
126,Reports, Complex
127,Sign in/login, Simple
128,Add item to shopping list, Simple
129,Confirm shopping list, Simple
130,Logout, Simple
131,Reset password, Simple
132,Assign task to team, Complex
133,Task details, Simple
134,Approve task, Complex
135,Complete task, Simple
136,Import and export data, Complex
137,Manage team, Complex
138,Transfer project and task, Complex
139,Create member report, Complex
140,Display bill, Simple
141,Add product in cart, Simple
142,Search product, Complex
143,Manage cart, Simple
144,Manage customer, Complex
145,Add item in shopping list, Simple
146,Login/logout, Simple
147,Visit the patient, Simple
148,Examine the patient, Simple
149,Report the patient condition, Simple
150,Discharge the patient, Simple
151,Register, Simple
152,Confirm the medical procedure, Simple
153,Apply for discharge, Simple
154,Login game play, Simple
155,Choose subject and level, Simple
156,View profile, Simple
157,Upgrade account, Simple
158,Book airline tickets, Average
159,Deliver airline tickets, Simple
160,Pay travel agent, Simple
161,Arrange tour, Average
162,Pay for tour, Simple
163,Check status, Simple
164,Room reservation, Complex
165,Food booking, Complex
166,Billing, Complex
167,Generate report, Average
168,Searching, Simple
169,Visit homepage, Simple
170,Book online, Complex
171,Provide status, Simple
172,Notify food, Simple
173,Search for hotels, Complex
174,View availability of rooms, Average
175,View room type, Simple
176,View discount, Simple
177,Reserve room, Complex
178,Make payment, Complex
179,Update rooms availability, Complex
180,Update room price, Complex
181,Start application, Simple
182,Load file, Simple
183,Show ORF, Average
184,Blast ORF, Complex
185,Show started date, Simple
186,Close application, Simple
187,View items, Simple
188,Make purchase, Complex
189,Complete checkout, Complex
190,Manage user, Average
191,Handle message, Average
192,Provide product, Simple
193,Accept request, Simple
194,View/update shopping cart, Average
195,Remember me, Simple
196,Calculate taxes and shipping, Average
197,Customer authentication, Simple
198,Check stock, Simple
199,Cancel order, Simple
200,Book a tour, Complex
201,Check balance, Simple
202,Update, Average
203,Admission, Average
204,Doctor appointment, Average
205,Test appointment, Average
206,Draw salary, Simple
207,Bed allotment, Average
208,Add doctor, Average
209,Add staff, Average
210,Remove doctor/staff, Average
211,Renewal, Average
212,Attendance, Average
213,Take & Pass test, Complex
214,Complete registration form, Average
215,Evaluate grade, Simple
216,Pay examination fees, Simple
217,Medical checkup, Simple
218,College/department info, Simple
219,Submit requested documents, Simple
220,Complete purchase, Complex
221,Make reservation, Complex
222,Place order, Complex
223,Process payment, Complex
224,Submit application, Complex
225,Perform system backup, Complex
226,Generate financial reports, Complex
227,Manage inventory, Complex
228,Issue refund, Complex
229,Handle customer complaints, Complex
230,Create project plan, Complex
231,Conduct security audit, Complex
232,Develop software, Complex
233,View home page, Simple
234,View product details, Simple
235,View contact information, Simple
236,View location information, Simple
237,View hours of operation, Simple
238,View menu, Simple
239,View news articles, Simple
240,View weather information, Simple
241,View sports scores, Simple
242,View movie times, Simple
243,View photos, Simple
244,View videos, Simple
245,View FAQ, Simple
246,View terms of service, Simple
247,View privacy policy, Simple
248,View customer reviews, Simple
249,View store hours, Simple
250,View shipping information, Simple
251,View returns policy, Simple
252,View warranty information, Simple
253,View help desk, Simple
254,View job postings, Simple
255,View social media accounts, Simple
256,View event calendar, Simple
257,View blog posts, Simple
258,View about us page, Simple
259,View mission statement, Simple
260,View team members, Simple
261,View services offered, Simple
262,View specials and promotions, Simple
263,View inventory, Simple
264,View purchase history, Simple
265,View order confirmation, Simple
266,View shipping confirmation, Simple
267,View invoice, Simple
268,View payment information, Simple
269,View transaction history, Simple
270,View rewards points, Simple
271,View coupons, Simple
272,View gift cards, Simple
273,View account settings, Simple
274,View notifications, Simple
275,View alerts, Simple
276,View messages, Simple
277,View chat history, Simple
278,Update user profile, Average
279,Search for products, Average
280,Book a hotel room, Average
281,Create new task, Average
282,Send email, Average
283,View company calendar, Average
284,Add contact, Average
285,Create new folder, Average
286,Manage email inbox, Average
287,Set up automatic payments, Average
288,Update billing information, Average
289,Add to shopping cart, Average
290,Check order status, Average
291,Post a job opening, Average
292,Upload file, Average
293,Create new document, Average
294,Change password, Average
295,Share file/folder, Average
296,Register for event, Average
297,Request information, Average
298,Change email preferences, Average
299,Create slideshow, Average
300,Send message, Average
301,Browse website, Average
302,Track expenses, Average
303,Order supplies, Average
304,Edit document, Average
305,Create invoice, Average
306,Search products, Average
307,Update account information, Average
308,Request customer support, Complex
309,Cancel subscription, Simple
310,Add to calendar, Simple
311,Share content, Simple
312,Leave product review, Average
313,Follow social media account, Simple
314,View customer service hours, Simple
315,Redeem reward points, Simple
316,Update payment information, Average
317,Track package, Average
318,Request refund, Average
319,Manage email subscriptions, Average
320,Update shipping address, Average
321,Feedback, Simple
322,Registration, Simple
323,Login, Simple
